"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2023","27,813.9","30,299.2","30,545.3","27,165.7","583.96K","-8.20%"
"Apr 09, 2023","30,299.6","27,941.2","30,964.9","27,809.2","544.03K","8.44%"
"Apr 02, 2023","27,941.2","28,456.1","28,744.4","27,256.9","397.27K","-1.81%"
"Mar 26, 2023","28,456.1","27,474.9","29,160.4","26,611.5","684.10K","3.57%"
"Mar 19, 2023","27,475.6","26,914.5","28,760.3","26,668.7","1.98M","2.09%"
"Mar 12, 2023","26,914.1","20,465.0","27,742.2","20,294.2","4.38M","31.50%"
"Mar 05, 2023","20,467.5","22,347.1","22,636.7","19,591.8","2.75M","-8.41%"
"Feb 26, 2023","22,347.1","23,166.1","23,914.1","22,051.9","1.99M","-3.54%"
"Feb 19, 2023","23,166.1","24,631.3","25,236.8","22,777.4","2.61M","-5.95%"
"Feb 12, 2023","24,631.4","21,859.9","25,233.8","21,418.7","2.81M","12.68%"
"Feb 05, 2023","21,859.8","23,326.9","23,425.1","21,491.7","2.23M","-6.28%"
"Jan 29, 2023","23,323.8","23,023.5","24,207.2","22,560.0","2.36M","1.28%"
"Jan 22, 2023","23,027.9","22,775.7","23,779.0","22,323.0","2.25M","1.11%"
"Jan 15, 2023","22,775.7","20,956.0","23,304.5","20,448.3","2.28M","8.67%"
"Jan 08, 2023","20,958.2","16,943.6","21,185.6","16,913.8","2.44M","23.69%"
"Jan 01, 2023","16,943.6","16,537.5","17,012.3","16,499.7","1.31M","2.46%"
"Dec 25, 2022","16,537.4","16,835.7","16,964.0","16,360.0","1.24M","-1.78%"
"Dec 18, 2022","16,837.2","16,777.0","17,031.3","16,331.2","1.35M","0.36%"
"Dec 11, 2022","16,777.1","17,127.0","18,351.8","16,542.4","1.94M","-2.04%"
"Dec 04, 2022","17,127.2","16,884.8","17,395.2","16,715.3","1.73M","1.44%"
"Nov 27, 2022","16,884.5","16,456.4","17,244.7","16,013.5","1.79M","2.60%"
"Nov 20, 2022","16,456.5","16,699.3","16,785.6","15,504.2","1.78M","-1.45%"
"Nov 13, 2022","16,699.2","16,803.9","17,158.4","15,834.0","1.58M","-0.57%"
"Nov 06, 2022","16,795.2","21,298.7","21,360.4","15,603.3","4.02M","-21.16%"
"Oct 30, 2022","21,301.6","20,809.4","21,464.7","20,065.8","2.62M","2.36%"
"Oct 23, 2022","20,809.8","19,204.8","21,038.1","19,092.5","2.25M","8.36%"
"Oct 16, 2022","19,204.8","19,068.8","19,692.9","18,703.3","1.72M","0.71%"
"Oct 09, 2022","19,068.7","19,416.3","19,933.9","18,207.9","2.12M","-1.78%"
"Oct 02, 2022","19,415.0","19,311.9","20,436.7","18,937.3","2.17M","0.53%"
"Sep 25, 2022","19,311.9","18,925.1","20,361.2","18,505.3","3.37M","2.04%"
"Sep 18, 2022","18,925.2","20,113.9","20,113.9","18,191.8","2.82M","-5.91%"
"Sep 11, 2022","20,113.5","21,650.4","22,702.5","19,352.9","2.58M","-7.10%"
"Sep 04, 2022","21,650.4","19,832.2","21,790.6","18,548.4","2.38M","9.17%"
"Aug 28, 2022","19,831.4","20,034.2","20,558.2","19,542.9","1.85M","-1.01%"
"Aug 21, 2022","20,033.9","21,138.9","21,832.3","19,849.8","1.70M","-5.23%"
"Aug 14, 2022","21,138.9","24,442.1","25,205.7","20,784.8","1.73M","-13.52%"
"Aug 07, 2022","24,442.5","22,944.2","24,882.9","22,714.7","1.39M","6.53%"
"Jul 31, 2022","22,944.2","23,634.2","24,179.3","22,438.7","1.25M","-2.92%"
"Jul 24, 2022","23,634.2","22,449.8","24,605.3","20,737.3","1.49M","5.23%"
"Jul 17, 2022","22,460.4","21,209.8","24,258.0","20,755.2","1.61M","5.90%"
"Jul 10, 2022","21,209.9","21,587.4","21,599.2","18,942.2","1.31M","-1.75%"
"Jul 03, 2022","21,587.5","19,243.4","22,482.1","18,794.4","1.39M","12.18%"
"Jun 26, 2022","19,243.2","21,489.9","21,837.4","18,682.7","742.87K","-10.45%"
"Jun 19, 2022","21,489.9","18,983.4","21,689.3","17,983.7","889.96K","13.19%"
"Jun 12, 2022","18,986.5","28,404.0","28,534.8","17,630.5","1.44M","-33.15%"
"Jun 05, 2022","28,403.4","29,865.1","31,753.4","28,161.8","614.26K","-4.89%"
"May 29, 2022","29,864.3","29,027.1","32,377.5","28,838.7","610.88K","2.88%"
"May 22, 2022","29,027.1","29,433.0","30,644.8","28,077.9","658.54K","-1.38%"
"May 15, 2022","29,434.6","30,078.6","31,383.8","28,648.1","630.05K","-2.15%"
"May 08, 2022","30,080.4","35,468.0","35,497.0","26,500.5","672.43M","-15.19%"
"May 01, 2022","35,468.0","37,642.0","40,021.0","34,773.0","4.43B","-5.80%"
"Apr 24, 2022","37,650.0","39,434.0","40,770.0","37,596.0","3.35B","-4.49%"
"Apr 17, 2022","39,418.0","40,382.0","42,969.0","38,577.0","2.66B","-2.39%"
"Apr 10, 2022","40,382.0","42,760.0","43,421.0","39,202.0","2.49B","-5.58%"
"Apr 03, 2022","42,767.0","45,813.0","47,435.0","42,113.0","3.23B","-6.64%"
"Mar 27, 2022","45,811.0","44,542.0","48,199.0","44,261.0","3.66B","2.84%"
"Mar 20, 2022","44,548.0","42,241.0","45,112.0","40,530.0","3.16B","5.48%"
"Mar 13, 2022","42,233.0","38,813.2","42,386.0","37,603.4","17.07B","8.81%"
"Mar 06, 2022","38,814.3","39,396.3","42,538.5","37,182.1","20.31B","-1.48%"
"Feb 27, 2022","39,395.8","39,116.6","45,294.2","37,062.3","6.23B","0.72%"
"Feb 20, 2022","39,115.5","40,089.6","40,120.3","34,357.4","635.91K","-2.43%"
"Feb 13, 2022","40,090.3","42,205.5","44,722.6","39,505.0","376.77K","-5.01%"
"Feb 06, 2022","42,205.2","41,411.9","45,755.2","41,176.3","473.29K","1.92%"
"Jan 30, 2022","41,412.1","38,167.5","41,899.8","36,297.3","451.36K","8.49%"
"Jan 23, 2022","38,170.8","35,072.9","38,862.6","32,985.6","630.11K","8.83%"
"Jan 16, 2022","35,075.2","43,079.2","43,487.1","34,116.0","541.76K","-18.61%"
"Jan 09, 2022","43,097.0","41,681.2","44,404.7","39,697.0","391.26K","3.42%"
"Jan 02, 2022","41,672.0","47,738.7","47,944.9","40,574.3","446.80K","-12.71%"
"Dec 26, 2021","47,738.0","50,404.0","52,016.3","45,693.6","391.96K","-5.29%"
"Dec 19, 2021","50,406.4","46,855.7","51,795.3","45,577.3","343.62K","7.58%"
"Dec 12, 2021","46,856.2","49,332.5","50,779.2","45,513.4","446.80K","-4.98%"
"Dec 05, 2021","49,314.5","49,196.4","51,918.6","46,834.0","470.49K","0.24%"
"Nov 28, 2021","49,195.2","54,758.0","59,174.4","42,587.8","485.37K","-10.17%"
"Nov 21, 2021","54,765.9","59,724.0","60,002.6","53,533.5","512.69K","-8.29%"
"Nov 14, 2021","59,717.6","64,397.2","66,311.2","55,626.3","521.73K","-7.27%"
"Nov 07, 2021","64,398.6","61,483.8","68,990.6","61,347.2","451.59K","4.74%"
"Oct 31, 2021","61,483.9","61,842.2","64,256.4","59,612.7","375.25K","-0.58%"
"Oct 24, 2021","61,840.1","61,308.2","63,694.8","58,112.6","449.83K","0.86%"
"Oct 17, 2021","61,312.5","60,865.5","66,967.1","59,143.4","545.11K","0.74%"
"Oct 10, 2021","60,861.1","54,942.5","62,892.8","54,100.8","628.28K","10.77%"
"Oct 03, 2021","54,942.5","47,665.4","55,977.9","46,958.6","506.29K","15.26%"
"Sep 26, 2021","47,666.9","42,685.8","48,435.2","40,786.6","486.08K","11.67%"
"Sep 19, 2021","42,686.8","48,299.9","48,341.9","39,646.8","682.37K","-11.63%"
"Sep 12, 2021","48,306.7","45,162.6","48,761.0","43,463.2","428.09K","6.96%"
"Sep 05, 2021","45,161.9","49,918.7","52,885.3","43,072.4","635.39K","-9.53%"
"Aug 29, 2021","49,918.4","48,899.7","51,008.8","46,533.1","503.54K","2.09%"
"Aug 22, 2021","48,897.1","48,870.4","50,498.8","46,360.4","455.60K","0.04%"
"Aug 15, 2021","48,875.8","47,082.6","49,719.1","43,986.7","404.44K","3.81%"
"Aug 08, 2021","47,081.5","44,584.9","48,090.9","42,824.1","603.00K","5.53%"
"Aug 01, 2021","44,614.2","41,510.0","44,697.3","37,365.4","480.25K","7.37%"
"Jul 25, 2021","41,553.7","34,392.5","42,285.3","33,881.3","772.12K","22.85%"
"Jul 18, 2021","33,824.8","31,517.9","33,955.0","29,310.2","547.54K","7.32%"
"Jul 11, 2021","31,518.6","33,510.8","34,598.0","31,062.2","444.39K","-5.94%"
"Jul 04, 2021","33,510.6","34,742.8","35,957.6","32,146.9","538.72K","-3.55%"
"Jun 27, 2021","34,742.8","32,247.1","36,590.3","32,041.7","644.50K","7.75%"
"Jun 20, 2021","32,243.4","35,510.9","36,097.9","28,901.8","1.38M","-9.21%"
"Jun 13, 2021","35,513.4","35,467.5","41,318.0","34,827.0","869.90K","0.13%"
"Jun 06, 2021","35,467.5","35,518.7","38,340.8","31,158.1","955.16K","-0.15%"
"May 30, 2021","35,520.0","34,589.3","39,462.3","33,441.0","795.23K","2.70%"
"May 23, 2021","34,584.6","37,446.8","40,750.0","31,192.4","1.36M","-7.65%"
"May 16, 2021","37,448.3","46,729.3","49,764.3","30,261.7","2.10M","-19.83%"
"May 09, 2021","46,708.8","58,840.6","59,523.9","46,331.1","971.69K","-20.62%"
"May 02, 2021","58,840.1","57,807.2","59,471.1","53,741.5","714.62K","1.79%"
"Apr 25, 2021","57,807.1","50,088.2","58,449.4","47,098.5","650.34K","15.41%"
"Apr 18, 2021","50,088.9","60,043.2","60,362.1","47,659.4","1.12M","-16.58%"
"Apr 11, 2021","60,041.9","59,772.4","64,778.0","59,250.3","738.10K","0.49%"
"Apr 04, 2021","59,748.4","57,059.7","61,229.0","55,489.3","478.37K","4.71%"
"Mar 28, 2021","57,059.9","55,856.9","60,134.9","54,711.3","551.09K","2.14%"
"Mar 21, 2021","55,862.9","58,097.4","58,583.8","50,441.3","736.81K","-3.84%"
